id;name;amount;date;initial
1;Kentucky;29741;2019-12-27T20:48:15;false
2;Investment Account;16431;2019-12-26T22:36:00;true
3;Representative empowering;28622;2019-12-27T06:02:59;true
4;Buckinghamshire orchestrate grow;18598;2019-12-27T22:04:06;true
5;disintermediate Garden Haiti;73402;2019-12-26T22:36:58;true
6;embrace;87884;2019-12-27T15:35:36;false
7;Cotton Executive;3216;2019-12-26T23:46:20;true
8;Auto Loan Account Zimbabwe;98441;2019-12-27T20:36:15;true
9;Cambridgeshire;25904;2019-12-27T05:01:20;false
10;invoice;66143;2019-12-27T13:46:08;true
